,x,y,weights
0,113784.11409999989,10060736.3674,1
1,113832.52130000014,10061055.314,1
2,113869.73809999973,10061266.3629,1
3,113879.6683,10061030.0212,1
4,113894.86060000025,10060728.9341,1
5,113901.31790000014,10060898.4185,1
6,113907.6146999998,10060791.5636,1
7,113917.9221,10061202.1187,1
8,113925.60500000045,10060745.7598,1
9,113928.4422000004,10061068.4171,1
10,113943.5855,10060683.1125,1
11,113956.10039999988,10061244.7316,1
12,113986.00800000038,10060734.6712,1
13,113996.03170000017,10060657.8168,1
14,114002.05819999985,10060997.8419,1
15,114008.24430000037,10060700.4449,1
16,114041.18460000027,10060848.8593,1
17,114071.89570000023,10060808.3118,1
18,114076.273,10061045.6974,1
19,114085.62810000032,10060730.4025,1
20,114098.994,10060934.096,1
21,114103.92310000025,10061208.3263,1
22,114110.05840000045,10060824.6068,1
23,114128.8081,10061173.0457,1
24,114130.1787,10060796.698,1
25,114139.29540000018,10060983.0239,1
26,114142.8683000002,10060748.2656,1
27,114155.21530000027,10061021.9653,1
28,114201.7544999998,10060862.9777,1
29,114207.61160000041,10060911.3994,1
30,114255.25789999962,10060833.4706,1
31,114270.51659999974,10060646.078,1
32,114315.71879999992,10060922.39,1
33,114340.4626000002,10060643.4057,1
34,114395.10130000021,10060744.4349,1
35,114404.20679999981,10060911.8115,1
36,114455.1325000003,10061005.9999,1
37,114465.71920000017,10060986.5185,1
38,114497.99969999958,10060911.2306,1
39,114515.50480000023,10060942.8019,1
40,114552.9757000003,10060680.1278,1
41,114575.8684,10060864.3396,1
42,114578.5274,10060880.6551,1
43,114623.99870000035,10060707.4573,1
44,114660.52950000018,10060651.1159,1
45,112202.9598000003,10059073.4316,1
46,112169.06539999973,10059109.2441,1
47,112264.45529999956,10059117.6119,1
48,112312.1502,10059121.7958,1
49,112126.6869,10059135.5866,1
50,112122.97989999969,10059139.7997,1
51,112137.8229,10059149.2659,1
52,112219.4302000003,10059149.2196,1
53,112203.00700000022,10059156.5981,1
54,112160.61479999963,10059158.7277,1
55,112215.19930000044,10059163.9604,1
56,112327.0418999996,10059217.0603,1
57,112274.06159999967,10059237.0924,1
58,112214.18429999985,10059242.9165,1
59,112254.47410000023,10059271.3176,1
60,112188.77369999979,10059287.6725,1
61,112221.1118,10059310.8144,1
62,112180.32340000011,10059337.6825,1
63,112193.5981,10059384.5219,1
64,112215.352,10059432.4092,1
65,112325.04629999958,10059434.9785,1
66,112161.35989999957,10059536.6613,1
67,112170.90500000026,10059548.236,1
68,112202.7012,10059550.3233,1
69,111761.32749999966,10059634.7952,1
70,111747.55169999972,10059638.4877,1
71,111711.0083999997,10059675.3547,1
72,111750.25409999955,10059730.6013,1
73,111774.1168,10059759.0117,1
74,111660.79580000043,10059901.1973,1
75,111696.89209999982,10060008.5565,1
76,111887.13939999975,10060019.5007,1
77,111835.22130000032,10060043.7437,1
78,111722.9151999997,10060107.4995,1
79,111614.31010000035,10060156.5149,1
80,111925.9600999998,10060256.3453,1
81,111883.0685,10060311.1127,1
82,111895.2615,10060319.5276,1
83,112082.92399999965,10060443.1159,1
84,111987.05750000011,10060526.8645,1
85,111921.8865,10060542.1671,1
86,114977.33229999989,10060513.5541,1
87,114992.19959999993,10060565.6547,1
88,114992.72369999997,10060555.6537,1
89,114996.261,10060256.6817,1
90,115001.22580000013,10060596.7045,1
91,115021.84889999963,10060521.9501,1
92,115033.90249999985,10060288.7678,1
93,115057.24089999963,10060328.231,1
94,115059.8677000003,10060288.7529,1
95,115090.61319999956,10060308.2104,1
96,115091.81259999983,10060550.8593,1
97,115098.15720000025,10060526.117,1
98,115099.19120000023,10060481.3762,1
99,115179.26429999992,10060581.8638,1
100,115196.60900000017,10060334.9936,1
101,115197.24760000035,10060523.9545,1
102,115241.60309999995,10060252.3301,1
103,115244.32789999992,10060383.3908,1
104,115262.97890000045,10060564.9722,1
105,115270.8788999999,10060480.751,1
106,115290.01809999999,10060589.6953,1
107,115316.46300000045,10060502.5685,1
108,115344.59530000016,10060585.1898,1
